ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
22043,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(C1)Cc2c1cccc2,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7d10>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d37d0>
22044,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(C1)Cc2c1ccc(F)c2,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7ca0>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3840>
22045,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(C1)Cc2c1ccc(Cl)c2,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7c30>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d38b0>
22046,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(C1)Cc2c1ccc(C(F)(F)F)c2,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7bc0>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3920>
22047,Cc1cc(CN(C2)C([C@@H](C3)CN[C@@H]3C(N3CCCC3)=O)=O)c2cc1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7b50>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3990>
22048,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(Cc1c2)Cc1cc(Cl)c2Cl,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7ae0>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3a00>
22049,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)Nc1ccccc1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7a70>,O=C(Nc1ccccc1)[C@@H]1CN[C@H](C(=O)N2CCCC2)C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3a70>
22050,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)NCc1ccccc1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7a00>,O=C(NCc1ccccc1)[C@@H]1CN[C@H](C(=O)N2CCCC2)C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3ae0>
22051,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)NCCc1ccccc1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7990>,O=C(NCCc1ccccc1)[C@@H]1CN[C@H](C(=O)N2CCCC2)C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3b50>
22052,O=C([C@@H](C1)CN[C@@H]1C(N1CSCC1)=O)N(C1)Cc2c1cccc2,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7920>,O=C([C@@H]1CN[C@H](C(=O)N2CCSC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3bc0>
22053,O=C([C@@H](C1)CN[C@@H]1C(N(CC1)C[C@H]1F)=O)N(C1)Cc2c1cccc2,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f78b0>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3c30>
22054,O=C([C@@H](C1)CN[C@@H]1C(N(CC1)C[C@@H]1F)=O)N(C1)Cc2c1cccc2,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7840>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3ca0>
22055,O=C([C@@H](C1)CN[C@@H]1C(N(CC1)CC1(F)F)=O)N(C1)Cc2c1cccc2,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f77d0>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3d10>
22056,N#C[C@H](CCC1)N1C([C@H](C1)NC[C@H]1C(N(C1)Cc2c1cccc2)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7760>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3d80>
22057,CC(C)([C@H](C1)C(N(C2)Cc3c2cccc3)=O)N[C@@H]1C(N(CCC1)[C@@H]1C#N)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f76f0>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3df0>
22058,CC(C)(CC(N(C1)Cc2c1cccc2)=O)NCC(N(CCC1)C1C#N)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7680>,O=C(CNCCC(=O)N1Cc2ccccc2C1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3e60>
22059,N#CC(CCC1)N1C(CNC(CC(C1)C2)(CC1C1)CC21O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7610>,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d3ed0>
