BindingDB_id,SMILES,bioactivity_class,IC50_nM,Data Set,Smiles standarization,Patente
22043,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(C1)Cc2c1cccc2,Active,16985,Bsite,Nope,No
22044,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(C1)Cc2c1ccc(F)c2,Active,13609,Bsite,Nope,No
22045,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(C1)Cc2c1ccc(Cl)c2,Active,7951,Bsite,Nope,No
22046,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(C1)Cc2c1ccc(C(F)(F)F)c2,Active,20001,Bsite,Nope,No
22047,Cc1cc(CN(C2)C([C@@H](C3)CN[C@@H]3C(N3CCCC3)=O)=O)c2cc1,Active,8803,Bsite,Nope,No
22048,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)N(Cc1c2)Cc1cc(Cl)c2Cl,Active,5129,Bsite,Nope,No
22049,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)Nc1ccccc1,Active,20001,Bsite,Nope,No
22050,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)NCc1ccccc1,Active,20001,Bsite,Nope,No
22051,O=C([C@@H](C1)CN[C@@H]1C(N1CCCC1)=O)NCCc1ccccc1,Active,20001,Bsite,Nope,No
22052,O=C([C@@H](C1)CN[C@@H]1C(N1CSCC1)=O)N(C1)Cc2c1cccc2,Active,10352,Bsite,Nope,No
22053,O=C([C@@H](C1)CN[C@@H]1C(N(CC1)C[C@H]1F)=O)N(C1)Cc2c1cccc2,Active,20001,Bsite,Nope,No
22054,O=C([C@@H](C1)CN[C@@H]1C(N(CC1)C[C@@H]1F)=O)N(C1)Cc2c1cccc2,Active,20001,Bsite,Nope,No
22055,O=C([C@@H](C1)CN[C@@H]1C(N(CC1)CC1(F)F)=O)N(C1)Cc2c1cccc2,Active,19478,Bsite,Nope,No
22056,N#C[C@H](CCC1)N1C([C@H](C1)NC[C@H]1C(N(C1)Cc2c1cccc2)=O)=O,Active,175,Bsite,Nope,No
22057,CC(C)([C@H](C1)C(N(C2)Cc3c2cccc3)=O)N[C@@H]1C(N(CCC1)[C@@H]1C#N)=O,Active,20001,Bsite,Nope,No
