BindingDB_id,SMILES,bioactivity_class,IC50_nM,Data Set,Smiles standarization,Patente
222010,OB(O)C1CCCN1C(=O)CNC(=O)CCCCCN(CC=1NC=CCC=1)CC1=CCC=CN1,Active,21,Bsite,Nope,Si
222011,OB(O)C1CCCN1C(=O)CNC(=O)CCCCCN(CC(=O)O)CC1=CCC=CN1,Active,3533,Bsite,Nope,Si
222012,OB(O)C1CCCN1C(=O)CNC(=O)CCCCCN(CC1NC=CN1C)CC1NC=CN1C,Active,20,Bsite,Error 1,Si
581997,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(OC)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C(C([C@H](C)CC)NC([C@H](CCCC1)N1C(OCc(cc1)ccc1NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C1)=O)C1=O)=O)=O)=O)=O)=O)=O,Active,150000,Bsite,Nope,Si
581999,CCCN([C@H](C[C@H](c1nc(C(N[C@H](C[C@H](C)C(O)=O)Cc2ccccc2)=O)c[s]1)OCCC)C(C)C)C([C@H]([C@@H](C)CC)NC(C([C@@H](C)CC)N(C)C(OCc(cc1)ccc1NC([C@H](CCCNC(N)=O)NC([C@H](C(C)C)NC(CCCCCN(C(C=C1)=O)C1=O)=O)=O)=O)=O)=O)=O,Active,90,Bsite,Nope,Si
582000,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCc(cc2)ccc2NC([C@H](CCCNC(N)=O)NC([C@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,14000,Bsite,Nope,Si
582002,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCOCCOCCNC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,1900,Bsite,Nope,Si
582004,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCNC(OCc(cc2)ccc2NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)=O)Cc2ccccc2)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,6000,Bsite,Nope,Si
582006,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCOCCOCCNC(OCc(cc2)ccc2NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,1900,Bsite,Nope,Si
1079748,CC(C)(C)[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,32000,Bsite,Nope,Si
1079762,N[C@H](C1(CC(C2)C3)CC3CC2C1)C(N1[C@@H](B(O)O)CCC1)=O,Active,31000,Bsite,Nope,Si
1079769,N[C@H](C(CC(C1)C2)(CC1C1)CC21Cl)C(N1[C@@H](B(O)O)CCC1)=O,Active,20000,Bsite,Nope,Si
1079776,CC1(CCCCC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,76000,Bsite,Nope,Si
1079783,CC[C@H](C)[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,16000,Bsite,Nope,Si
1079790,CC[C@H](C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,26000,Bsite,Nope,Si
1079797,N[C@H](C1CCCCC1)C(N1[C@@H](B(O)O)CCC1)=O,Active,10000,Bsite,Nope,Si
1079804,CC1(CCCC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,88000,Bsite,Nope,Si
1079811,CC(C)([C@H](C(N1[C@@H](B(O)O)CCC1)=O)N)F,Active,75000,Bsite,Nope,Si
1079818,C[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,13000,Bsite,Nope,Si
1079832,C[C@H](C(N1[C@@H](B(O)O)CCC1)=S)N,Active,130000,Bsite,Nope,Si
1079838,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=S)N,Active,100000,Bsite,Nope,Si
1079845,CC1(C)[C@H](C(N2[C@@H](B(O)O)CCC2)=O)NC1,Active,58000,Bsite,Nope,Si
1079877,CC[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,42000,Bsite,Nope,Si
1079884,N[C@H](C(CC(C1)C2)(CC1C1)CC21O)C(N1[C@@H](B(O)O)CCC1)=O,Active,9000,Bsite,Nope,Si
1079896,CC[C@@H](C)[C@H](C(N(C1)[C@@H](B(O)O)c2c1cccc2)=O)N,Active,640000,Bsite,Nope,Si
1079998,CC(C)[C@@H](C(N(C1)[C@H](B(O)O)C[C@@H]1O)=O)N,Active,75000,Bsite,Nope,Si
1080016,CC1(C)[C@@H](C(N2[C@H](B(O)O)CCC2)=O)NCC1,Active,32000,Bsite,Nope,Si
1080023,CC1(CC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,350000,Bsite,Nope,Si
1080030,N[C@@H](Cc1ccccc1)C(N1[C@H](B(O)O)CCC1)=O,Active,17000,Bsite,Nope,Si
