molecule_chemblid,canonical_smiles,bioactivity_class,standard_value,Data Set,Smiles standarization
CHEMBL371130,O=C(CNC1CCCCC1)N1CCC[C@H]1B(O)O,Active,650,CHEMBl,Nope
CHEMBL382974,O=C(CNC1CCCCCCC1)N1CCC[C@H]1B(O)O,Active,290,CHEMBl,Nope
CHEMBL196267,O=C(CNC1CCCCCCCCC1)N1CCC[C@H]1B(O)O,Active,530,CHEMBl,Nope
CHEMBL373269,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCC[C@@H]1B(O)O,Active,4.6,CHEMBl,Nope
CHEMBL372180,CCCCCC12CCC(NCC(=O)N3CCC[C@H]3B(O)O)(CC1)CC2,Active,270,CHEMBl,Nope
CHEMBL305170,CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,Active,11,CHEMBl,Nope
CHEMBL427012,O=C(CNC1C2CC3CC(C2)CC1C3)N1CCC[C@@H]1B(O)O,Active,99,CHEMBl,Nope
CHEMBL381444,CC12CC3(C)CC(C)(C1)CC(NCC(=O)N1CCC[C@@H]1B(O)O)(C2)C3,Active,770,CHEMBl,Nope
CHEMBL196933,O=C(CNC1CCCCCC1)N1CCC[C@H]1B(O)O,Active,150,CHEMBl,Nope
CHEMBL195189,CC(C)[C@H](N)C(=O)N1CCC[C@@H]1B(O)O,Active,11,CHEMBl,Nope
CHEMBL362922,O=C(CNC1CC2CCCC1C2)N1CCC[C@H]1C(O)O,Active,180,CHEMBl,Nope
CHEMBL210995,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C(=O)N2Cc3ccccc3C2)CN1,Active,175,CHEMBl,Nope
CHEMBL67279,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,Active,24,CHEMBl,Nope
CHEMBL460842,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCC[C@H]1B(O)O,Active,46,CHEMBl,Nope
CHEMBL463231,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1)NCC(=O)N1CC(F)(F)C[C@H]1C#N,Active,590,CHEMBl,Nope
CHEMBL387050,O=C1c2ccccc2CN1CC(=O)N1CCC[C@H]1B(O)O,Active,120,CHEMBl,Nope
CHEMBL1243372,N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCN1Cc2ccccc2C1=O,Active,54,CHEMBl,Nope
CHEMBL1243373,O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccc2ccccc12,Active,19,CHEMBl,Nope
CHEMBL1243374,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1cccc2ccccc12,Active,610,CHEMBl,Nope
CHEMBL1243402,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,Active,79,CHEMBl,Nope
CHEMBL1243403,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,Active,210,CHEMBl,Nope
CHEMBL1242939,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(Cl)cc3C2)C(=O)N1,Active,66,CHEMBl,Nope
CHEMBL1242940,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(F)cc3C2)C(=O)N1,Active,59,CHEMBl,Nope
CHEMBL1242966,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(C(F)(F)F)cc3C2)C(=O)N1,Active,110,CHEMBl,Nope
CHEMBL1242967,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCc3ccccc3C2)C(=O)N1,Active,88,CHEMBl,Nope
CHEMBL1242993,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCc3ccsc3C2)C(=O)N1,Active,250,CHEMBl,Nope
CHEMBL1242994,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCn3cc(C(F)(F)F)nc3C2)C(=O)N1,Active,650,CHEMBl,Nope
CHEMBL1243028,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCN(c3ccc(F)cc3)CC2)C(=O)N1,Active,510,CHEMBl,Nope
CHEMBL1243061,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CC=C(c3ccc(Cl)cc3)CC2)C(=O)N1,Active,200,CHEMBl,Nope
CHEMBL1243091,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCCC2)C(=O)N1,Active,73,CHEMBl,Nope
CHEMBL1243092,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCCCC2)C(=O)N1,Active,730,CHEMBl,Nope
CHEMBL1243126,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,Active,20,CHEMBl,Nope
CHEMBL1243127,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(Cl)cc3C2)C(=O)N1,Active,63,CHEMBl,Nope
CHEMBL1243153,N#C[C@@H]1CC(F)(F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,Active,22,CHEMBl,Nope
CHEMBL1243184,O=C1N[C@H](C(=O)N2CCC[C@H]2B(O)O)C[C@H]1CC(=O)N1Cc2ccccc2C1,Active,31,CHEMBl,Nope
CHEMBL1951600,CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,Active,1000,CHEMBl,Nope
CHEMBL237500,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,Active,89,CHEMBl,Nope
CHEMBL2333023,O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccnc1,Active,1.1,CHEMBl,Nope
CHEMBL2332622,CC[C@@H](NC(=O)c1ccnc2ccccc12)C(=O)N1CCC[C@H]1B(O)O,Active,65,CHEMBl,Nope
CHEMBL2332621,CSCC[C@@H](NC(=O)c1ccnc2ccccc12)C(=O)N1CCC[C@H]1B(O)O,Active,350,CHEMBl,Nope
CHEMBL2332620,O=C(N[C@H](CO)C(=O)N1CCC[C@H]1B(O)O)c1ccnc2ccccc12,Active,120,CHEMBl,Nope
CHEMBL2332619,C[C@@H](NC(=O)c1ccnc2ccccc12)C(=O)N1CCC[C@H]1B(O)O,Active,6.4,CHEMBl,Nope
CHEMBL2332618,C[C@@H](NC(=O)c1ccnc(Cl)c1)C(=O)N1CCC[C@H]1B(O)O,Active,9.4,CHEMBl,Nope
CHEMBL2332617,C[C@@H](NC(=O)c1ccnc(F)c1)C(=O)N1CCC[C@H]1B(O)O,Active,16,CHEMBl,Nope
CHEMBL2333030,C[C@@H](NC(=O)c1ccncc1Cl)C(=O)N1CCC[C@H]1B(O)O,Active,3.4,CHEMBl,Nope
