ID_x,SCAFFOLD,ID_y
CHEMBL371130,O=C(CNC1CCCCC1)N1CCCC1,50130379
CHEMBL382974,O=C(CNC1CCCCCCC1)N1CCCC1,50130389
CHEMBL196267,O=C(CNC1CCCCCCCCC1)N1CCCC1,50130376
CHEMBL373269,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCCC1,22059
CHEMBL372180,O=C(CNC12CCC(CC1)CC2)N1CCCC1,50130390
CHEMBL305170,C1CCNC1,1079748
CHEMBL427012,O=C(CNC1C2CC3CC(C2)CC1C3)N1CCCC1,50130370
CHEMBL196933,O=C(CNC1CCCCCC1)N1CCCC1,50130373
CHEMBL362922,O=C(CNC1CC2CCCC1C2)N1CCCC1,50130372
CHEMBL210995,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,22043
CHEMBL463231,O=C(CCNCC(=O)N1CCCC1)N[C@H]1C[C@@H]1c1ccccc1,50151841
CHEMBL387050,O=C(CN1Cc2ccccc2C1=O)N1CCCC1,50917646
CHEMBL1243372,O=C(CCCCN1Cc2ccccc2C1=O)N1CCCC1,50917647
CHEMBL1243373,O=C(NCC(=O)N1CCCC1)c1cccc2ccccc12,50917648
CHEMBL1243402,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,50917650
CHEMBL1243403,O=C1N[C@H](C(=O)N2CCCC2)C[C@@H]1CC(=O)N1Cc2ccccc2C1,50917651
CHEMBL1242967,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCc2ccccc2C1,50917655
CHEMBL1242993,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCc2ccsc2C1,50917656
CHEMBL1242994,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCn2ccnc2C1,50917657
CHEMBL1243028,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCN(c2ccccc2)CC1,50917659
CHEMBL1243061,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CC=C(c2ccccc2)CC1,50917661
CHEMBL1243091,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCCC1,50917662
CHEMBL1243092,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCCCC1,50917805
CHEMBL1951600,O=c1[nH]c2cc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,50717718
CHEMBL237500,O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,50953890
CHEMBL2333023,O=C(NCC(=O)N1CCCC1)c1cccnc1,1297216
CHEMBL2332622,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,1225336
CHEMBL2332618,O=C(NCC(=O)N1CCCC1)c1ccncc1,51057369
CHEMBL2333027,O=C(NCC(=O)N1CCCC1)c1ccccc1,51057374
CHEMBL3093923,O=C(CCc1ccccc1)N1CCCC1,1080030
CHEMBL3093910,O=C(CCc1ccc(OCc2ccccc2)cc1)N1CCCC1,51084525
CHEMBL189620,O=C([C@@H]1CCCN1C(=O)CCCc1ccccc1)N1CCCC1,51494188
