ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
CHEMBL371130,O=C(CNC1CCCCC1)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6880>,O=C(CNC1CCCCC1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4e420>
CHEMBL382974,O=C(CNC1CCCCCCC1)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f68f0>,O=C(CNC1CCCCCCC1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4e490>
CHEMBL196267,O=C(CNC1CCCCCCCCC1)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6960>,O=C(CNC1CCCCCCCCC1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4e500>
CHEMBL373269,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCC[C@@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f69d0>,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52810>
CHEMBL372180,CCCCCC12CCC(NCC(=O)N3CCC[C@H]3B(O)O)(CC1)CC2,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6a40>,O=C(CNC12CCC(CC1)CC2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52880>
CHEMBL305170,CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6ab0>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd528f0>
CHEMBL427012,O=C(CNC1C2CC3CC(C2)CC1C3)N1CCC[C@@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6b20>,O=C(CNC1C2CC3CC(C2)CC1C3)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52960>
CHEMBL381444,CC12CC3(C)CC(C)(C1)CC(NCC(=O)N1CCC[C@@H]1B(O)O)(C2)C3,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6b90>,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd529d0>
CHEMBL196933,O=C(CNC1CCCCCC1)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6c00>,O=C(CNC1CCCCCC1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52a40>
CHEMBL195189,CC(C)[C@H](N)C(=O)N1CCC[C@@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6c70>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52ab0>
CHEMBL362922,O=C(CNC1CC2CCCC1C2)N1CCC[C@H]1C(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6ce0>,O=C(CNC1CC2CCCC1C2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52b20>
CHEMBL210995,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C(=O)N2Cc3ccccc3C2)CN1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6d50>,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52b90>
CHEMBL67279,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6dc0>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52c00>
CHEMBL460842,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6e30>,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52c70>
CHEMBL463231,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1)NCC(=O)N1CC(F)(F)C[C@H]1C#N,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6ea0>,O=C(CCNCC(=O)N1CCCC1)N[C@H]1C[C@@H]1c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52ce0>
CHEMBL387050,O=C1c2ccccc2CN1CC(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6f10>,O=C(CN1Cc2ccccc2C1=O)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52d50>
CHEMBL1243372,N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCN1Cc2ccccc2C1=O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6f80>,O=C(CCCCN1Cc2ccccc2C1=O)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52dc0>
CHEMBL1243373,O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccc2ccccc12,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f6ff0>,O=C(NCC(=O)N1CCCC1)c1cccc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52e30>
CHEMBL1243374,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1cccc2ccccc12,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7060>,O=C(NCC(=O)N1CCCC1)c1cccc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52ea0>
CHEMBL1243402,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f70d0>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52f10>
CHEMBL1243403,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7140>,O=C1N[C@H](C(=O)N2CCCC2)C[C@@H]1CC(=O)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52f80>
CHEMBL1242939,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(Cl)cc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f71b0>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd52ff0>
CHEMBL1242940,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(F)cc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7220>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53060>
CHEMBL1242966,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(C(F)(F)F)cc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7290>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd530d0>
CHEMBL1242967,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCc3ccccc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7300>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53140>
CHEMBL1242993,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCc3ccsc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7370>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCc2ccsc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd531b0>
CHEMBL1242994,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCn3cc(C(F)(F)F)nc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f73e0>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCn2ccnc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53220>
CHEMBL1243028,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCN(c3ccc(F)cc3)CC2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7450>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCN(c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53290>
CHEMBL1243061,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CC=C(c3ccc(Cl)cc3)CC2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f74c0>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CC=C(c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53300>
CHEMBL1243091,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCCC2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7530>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53370>
CHEMBL1243092,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCCCC2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f75a0>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd533e0>
CHEMBL1243126,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7610>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53450>
CHEMBL1243127,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(Cl)cc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7680>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd534c0>
CHEMBL1243153,N#C[C@@H]1CC(F)(F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f76f0>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53530>
CHEMBL1243184,O=C1N[C@H](C(=O)N2CCC[C@H]2B(O)O)C[C@H]1CC(=O)N1Cc2ccccc2C1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7760>,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd535a0>
CHEMBL1951600,CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f77d0>,O=c1[nH]c2cc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53610>
CHEMBL237500,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7840>,O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53680>
CHEMBL2333023,O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccnc1,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f78b0>,O=C(NCC(=O)N1CCCC1)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd536f0>
CHEMBL2332622,CC[C@@H](NC(=O)c1ccnc2ccccc12)C(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7920>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53760>
CHEMBL2332621,CSCC[C@@H](NC(=O)c1ccnc2ccccc12)C(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7990>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd537d0>
CHEMBL2332620,O=C(N[C@H](CO)C(=O)N1CCC[C@H]1B(O)O)c1ccnc2ccccc12,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7a00>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53840>
CHEMBL2332619,C[C@@H](NC(=O)c1ccnc2ccccc12)C(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7a70>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd538b0>
CHEMBL2332618,C[C@@H](NC(=O)c1ccnc(Cl)c1)C(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7ae0>,O=C(NCC(=O)N1CCCC1)c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53920>
CHEMBL2332617,C[C@@H](NC(=O)c1ccnc(F)c1)C(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7b50>,O=C(NCC(=O)N1CCCC1)c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53990>
CHEMBL2333030,C[C@@H](NC(=O)c1ccncc1Cl)C(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7bc0>,O=C(NCC(=O)N1CCCC1)c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53a00>
CHEMBL2333029,C[C@@H](NC(=O)c1ccncc1F)C(=O)N1CCC[C@H]1B(O)O,CHEMBl,<rdkit.Chem.rdchem.Mol object at 0x7a2dc01f7c30>,O=C(NCC(=O)N1CCCC1)c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd53a70>
