ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
TriOncoFAP-DOTAGA,[3H][C@]1(C#N)CC(F)(F)CN1C(=O)CNC(=O)c1ccnc2c(cccc21)NC(=O)CCC(=O)NCCNC(=O)CCOCC(COCCC(=O)NCCNC(=O)CCC(=O)Nc1cccc2c1nccc2C(=O)NCC(=O)N1CC(F)(F)C[C@]1([3H])C#N)(COCCC(=O)NCCNC(=O)CCC(=O)Nc1cccc2c1nccc2C(=O)NCC(=O)N1CC(F)(F)C[C@]1([3H])C#N)NC(=O)CCC(C(O)=O)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4bed0>,O=C(CCOCC(COCCC(=O)NCCNC(=O)CCC(=O)Nc1cccc2c(C(=O)NCC(=O)N3CCCC3)ccnc12)(COCCC(=O)NCCNC(=O)CCC(=O)Nc1cccc2c(C(=O)NCC(=O)N3CCCC3)ccnc12)NC(=O)CCCN1CCNCCNCCNCC1)NCCNC(=O)CCC(=O)Nc1cccc2c(C(=O)NCC(=O)N3CCCC3)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd67ca0>
P-FAPI,O=C(NCC(=O)N1CC(F)(F)C[C@@H]1C#N)c1ccnc2ccc(OCCOCCNC(=O)CN3CCN(CC(=O)O)CCN(CC3)CC(=O)O)cc21,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4bf40>,O=C(CN1CCNCCNCC1)NCCOCCOc1ccc2nccc(C(=O)NCC(=O)N3CCCC3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd67d10>
PD-FAPI,O=C(NCCOCCOCCOc1cc2c(nccc2C(=O)NCC(=O)N2C[C@](F)(F)C[C@H]2C#N)cc1)[C@H](NC(=O)CN1CCN(CC(=O)O)CCN(CC1)CC(=O)O)CC(=O)N[C@H](CC(O)=O)CC(=O)O,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c040>,O=C(CNC(=O)CN1CCNCCNCC1)NCCOCCOCCOc1ccc2nccc(C(=O)NCC(=O)N3CCCC3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd67d80>
FAP-46-F1D,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)NC(C(=O)N2CCN(CC2)CCCN(C)c2ccc3nccc(C(=O)NCC(=O)N4CC(F)(F)C[C@@H]4C#N)c3c2)C(=O)N2CCN(CC2)CCCN(C)c2ccc3nccc(C(=O)NCC(=O)N4CC(F)(F)C[C@H]4C#N)c3c2)CC1,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c0b0>,O=C(CN1CCNCCNCCNCC1)NC(C(=O)N1CCN(CCCNc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1)C(=O)N1CCN(CCCNc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd67df0>
DOTAGA-FAPI-FUSCC-II,O=C(O)C(CCC(=O)NCC(=O)NCC(=O)NCC(=O)Nc1cccc2c1nccc2C(=O)NCC(=O)N1CC(F)(F)C[C@@H]1C#N)N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c120>,O=C(CCCN1CCNCCNCCNCC1)NCC(=O)NCC(=O)NCC(=O)Nc1cccc2c(C(=O)NCC(=O)N3CCCC3)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd67e60>
BiOncoFAP,O=C(O)CN1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)C(CCC(=O)NCCNC(=O)C(NC(=O)CCC(=O)Nc1cccc2c1nccc2C(=O)NCC(=O)N1CC(F)(F)C[C@H]1C#N)CCCCNC(=O)CCC(=O)Nc1cccc2c1nccc2C(=O)NCC(=O)N1CC(F)(F)C[C@H]1C#N)C(=O)O,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c190>,O=C(CCCN1CCNCCNCCNCC1)NCCNC(=O)C(CCCCNC(=O)CCC(=O)Nc1cccc2c(C(=O)NCC(=O)N3CCCC3)ccnc12)NC(=O)CCC(=O)Nc1cccc2c(C(=O)NCC(=O)N3CCCC3)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd67ed0>
DD-FAPI,O=C(N1CCN(CC1)CCCCOc1ccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@H]3C#N)c2c1)C(NC(=O)[C@@H](NC(=O)[C@H](N)CC(O)=O)CC(=O)O)CCCCNC(=O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CC1,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c200>,O=C(CN1CCNCCNCC1)NCCCCCC(=O)N1CCN(CCCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd67f40>
ND-bis-FAPI,N#C[C@@H]1CC(F)(F)CN1C(=O)CNC(=O)c1ccnc2ccc(cc21)OCCCN1CCN(CC1)C(=O)C(NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)CCCCNC(=O)[C@@H](NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CC1)CC(=O)N1CCN(CC1)CCCOc1ccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@@H]3C#N)c2c1,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c270>,O=C(CN1CCNCCNCCNCC1)NC(CCCCNC(=O)[C@H](CC(=O)N1CCN(CCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1)NC(=O)CN1CCNCCNCC1)C(=O)N1CCN(CCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68040>
FP-L1,O=C(N[C@H](CCC(=O)O)C(=O)O)NC(CCCCNC(=O)[C@@H](CCCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CC1)NC(=O)CCOCCOCCOCCn1nnc(c1)CCC(=O)NCCCOc1cc2c(nccc2C(=O)NCC(=O)N2CCC[C@@H]2C#N)cc1)C(=O)O,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c2e0>,O=C(CCOCCOCCOCCn1cc(CCC(=O)NCCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)nn1)NCCCCCNC(=O)CN1CCNCCNCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd680b0>
18F10,O=C(NCC(=O)N1CC(F)(F)C[C@H]1C#N)c1ccnc2ccc(OCCC[N+](C)(C)CF)cc21,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c350>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68120>
OncoFAP,OC(=O)C(CCC(=O)NCCNC(=O)CCC(=O)Nc1cccc2c1nccc2C(=O)NCC(=O)N1CC(F)(F)C[C@H]1C#N)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c3c0>,O=C(CCCN1CCNCCNCCNCC1)NCCNC(=O)CCC(=O)Nc1cccc2c(C(=O)NCC(=O)N3CCCC3)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68190>
18F6,O=C(OC1CCc2cnnc(c2CCC1)c1cc(F)cc(CN(CC(O)=O)CC(O)=O)c1)NCCNC=1C(=O)C(=O)C=1NCCCCOc1ccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@@]3([2H])C#N)c2c1,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c430>,O=C(NCCNc1c(NCCCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)c(=O)c1=O)OC1CCCc2c(cnnc2-c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68200>
DOTAGA.(SA.FAPI)2,O=C(O)CN1CCN(CCN(CC(=O)O)CCN(CC1)CCNC=1C(=O)C(=O)C=1NCCCCOc1ccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@H]3C#N)c2c1)C(CCC(=O)NCCNC=1C(=O)C(=O)C=1NCCCCOc1ccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@H]3C#N)c2c1)C(=O)O,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c4a0>,O=C(CCCN1CCNCCN(CCNc2c(NCCCCOc3ccc4nccc(C(=O)NCC(=O)N5CCCC5)c4c3)c(=O)c2=O)CCNCC1)NCCNc1c(NCCCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)c(=O)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68270>
